job_id,estimate_id,customer_id,service_id,crew_id,scheduled_date,completed_date,job_status,city,billed_revenue,estimated_labor_hours,actual_labor_hours,estimated_material_cost,actual_material_cost,rework_flag,weather_delay_flag,travel_minutes,customer_rating
908540,,205,2,1,2025-02-07,2025-02-07,Completed,Nolensville,131.41,1.09,0.97,30.31,31.74,0,0,38,4.7
911659,,290,2,1,2025-02-07,2025-02-07,Completed,Nolensville,98.23,0.88,0.84,21.26,21.32,0,0,23,5.0
916918,,420,2,2,2025-02-07,2025-02-07,Completed,Nolensville,120.91,1.1,0.96,30.78,32.93,0,0,41,4.6
902075,,48,2,3,2025-02-07,2025-02-07,Completed,Brentwood,93.42,0.77,0.83,20.43,17.58,0,0,8,4.4
900547,,14,2,2,2025-02-07,2025-02-07,Completed,Franklin,120.8,0.82,0.96,21.28,20.81,0,0,8,4.3
906450,,164,2,5,2025-02-07,2025-02-07,Completed,Nashville,101.27,0.83,0.85,21.39,22.94,0,0,18,4.8
906554,,166,2,2,2025-02-07,2025-02-07,Completed,Franklin,86.43,0.83,0.79,22.15,22.55,0,0,8,5.0
905234,,135,2,4,2025-02-07,2025-02-07,Completed,Spring Hill,89.56,0.88,0.72,22.62,20.51,0,0,20,4.5
912415,,313,2,1,2025-02-08,2025-02-08,Completed,Nolensville,183.62,1.75,1.85,46.03,42.37,0,0,17,5.0
901840,,43,2,5,2025-02-08,2025-02-08,Completed,Nashville,100.35,0.85,0.86,21.0,21.6,0,0,8,4.7
904643,,118,2,3,2025-02-08,2025-02-08,Completed,Brentwood,104.0,0.86,0.94,19.95,20.78,0,0,13,4.2
905121,,129,2,2,2025-02-08,2025-02-08,Completed,Franklin,117.9,1.18,1.05,27.16,26.7,0,0,8,4.9
900057,,1,2,5,2025-02-08,2025-02-08,Completed,Nashville,103.69,0.79,0.69,20.98,19.31,0,0,24,4.8
908923,,213,2,1,2025-02-08,2025-02-08,Completed,Nolensville,185.53,1.57,1.7,42.29,43.1,0,0,32,4.7
908680,,208,2,2,2025-02-08,2025-02-08,Completed,Nolensville,194.54,1.69,1.78,41.64,40.85,0,0,28,5.0
908821,,211,2,5,2025-02-08,2025-02-08,Completed,Nashville,124.07,0.86,0.94,21.17,19.46,0,0,22,4.4
906760,,171,2,3,2025-02-08,2025-02-08,Completed,Brentwood,137.08,1.11,1.15,28.48,26.58,0,0,23,4.4
913745,,348,2,4,2025-02-08,2025-02-08,Completed,Spring Hill,86.81,0.83,0.75,22.07,22.44,0,0,27,4.6
907361,,182,2,4,2025-02-08,2025-02-08,Completed,Spring Hill,93.76,0.87,0.87,22.63,25.69,0,0,23,4.7
909159,,221,2,3,2025-02-09,2025-02-09,Completed,Nashville,187.76,1.64,1.89,43.34,39.9,0,0,41,4.8
905603,,143,2,4,2025-02-09,2025-02-09,Completed,Spring Hill,95.23,0.95,0.88,22.44,23.67,0,0,24,4.5
902312,,54,2,3,2025-02-09,2025-02-09,Completed,Brentwood,96.16,0.85,0.99,21.53,22.35,0,0,19,4.8
910911,,268,2,5,2025-02-09,2025-02-09,Completed,Nashville,94.76,0.75,0.8,23.23,24.84,0,0,34,4.7
910090,,246,2,2,2025-02-09,2025-02-09,Completed,Franklin,116.31,0.93,0.86,22.66,22.81,0,0,12,4.9
909715,,234,2,4,2025-02-09,2025-02-09,Completed,Spring Hill,87.84,0.88,0.81,22.82,24.96,0,0,19,4.8
911593,,289,2,1,2025-02-09,2025-02-09,Completed,Nolensville,95.59,0.87,0.85,21.92,22.05,0,0,13,4.9
915953,,397,2,2,2025-02-09,2025-02-09,Completed,Franklin,94.36,0.87,0.97,23.49,23.03,0,0,28,4.7
912168,,306,2,5,2025-02-09,2025-02-09,Completed,Nashville,99.83,0.86,0.97,22.36,21.27,0,0,13,4.8
901188,,30,2,3,2025-02-09,2025-02-09,Completed,Brentwood,99.96,0.87,1.05,20.08,21.58,0,0,8,5.0
912282,,309,2,2,2025-02-09,2025-02-09,Completed,Franklin,88.21,0.85,0.7,23.87,25.75,0,0,28,4.5
913952,,352,2,2,2025-02-09,2025-02-09,Completed,Franklin,182.39,1.96,1.95,43.97,42.25,0,0,31,5.0
909508,,230,2,1,2025-02-09,2025-02-09,Completed,Nolensville,186.04,1.79,1.56,44.52,42.35,0,0,17,4.8
913812,,349,2,1,2025-02-09,2025-02-09,Completed,Nolensville,174.5,1.81,1.63,42.54,37.65,0,0,18,4.2
907398,,183,2,3,2025-02-09,2025-02-09,Completed,Brentwood,121.22,1.13,1.37,32.72,34.43,0,0,15,4.3
906995,,176,2,1,2025-02-09,2025-02-09,Completed,Nolensville,128.99,1.11,1.07,28.75,29.62,0,0,8,4.5
900132,,3,2,1,2025-02-08,2025-02-09,Completed,Nolensville,134.96,1.18,1.24,30.84,32.31,0,1,28,4.5
915481,,387,2,3,2025-02-09,2025-02-09,Completed,Brentwood,120.3,0.87,1.23,20.72,18.18,0,0,35,4.4
906656,,169,2,1,2025-02-08,2025-02-09,Completed,Nolensville,109.85,0.8,0.76,24.94,25.46,0,1,22,4.8
915415,,386,2,3,2025-02-09,2025-02-09,Completed,Nolensville,87.6,0.8,0.97,20.86,23.36,0,0,42,4.6
917160,50446,105,3,3,2025-02-09,2025-02-09,Completed,Franklin,544.56,7.12,8.64,147.27,158.71,0,0,44,4.7
913471,,341,2,5,2025-02-10,2025-02-10,Completed,Nashville,94.13,0.75,0.73,21.32,19.77,1,0,30,4.1
911080,,274,2,2,2025-02-10,2025-02-10,Completed,Franklin,127.32,1.12,1.16,29.5,30.31,0,0,14,4.7
915095,,378,2,3,2025-02-10,2025-02-10,Completed,Brentwood,175.92,1.82,2.25,43.83,50.97,0,0,32,4.5
904227,,107,2,5,2025-02-10,2025-02-10,Completed,Spring Hill,78.93,0.83,0.77,22.72,26.46,0,0,38,4.7
903417,,86,2,3,2025-02-10,2025-02-10,Completed,Brentwood,90.85,0.92,1.04,21.38,24.98,0,0,32,4.4
907531,,186,2,3,2025-02-10,2025-02-10,Completed,Nashville,97.48,0.85,0.91,24.58,21.6,0,0,35,4.5
901971,,45,2,2,2025-02-10,2025-02-10,Completed,Nolensville,90.82,0.86,0.82,25.18,22.11,0,0,21,4.7
915199,,381,2,5,2025-02-10,2025-02-10,Completed,Nashville,132.72,0.95,0.98,32.54,36.49,0,0,25,4.8
911323,,282,2,4,2025-02-08,2025-02-10,Completed,Spring Hill,185.29,1.59,1.46,43.77,41.9,0,1,16,4.8
913063,,331,2,2,2025-02-10,2025-02-10,Completed,Franklin,93.7,0.8,0.72,22.31,23.04,0,0,18,4.6
902481,,58,2,4,2025-02-10,2025-02-10,Completed,Brentwood,122.14,0.84,0.69,23.01,24.97,0,0,45,4.5
908989,,215,2,1,2025-02-10,2025-02-10,Completed,Nolensville,185.89,1.8,1.63,47.54,46.53,0,0,22,4.9
914359,,361,2,5,2025-02-10,2025-02-10,Completed,Nashville,93.04,0.9,0.92,23.02,23.53,0,0,16,5.0
907060,,177,2,3,2025-02-10,2025-02-10,Completed,Brentwood,90.95,0.91,0.94,22.46,23.74,0,0,8,4.4
901254,,31,2,5,2025-02-10,2025-02-10,Completed,Nashville,178.19,1.7,1.47,46.89,47.01,0,0,25,4.7
908754,,210,2,1,2025-02-10,2025-02-10,Completed,Nolensville,97.98,0.74,0.68,22.04,25.39,0,0,26,4.5
914849,,373,2,1,2025-02-10,2025-02-10,Completed,Nolensville,91.77,0.89,0.81,21.84,24.63,0,0,20,4.5
907870,,193,2,2,2025-02-10,2025-02-10,Completed,Franklin,96.92,0.89,1.0,20.78,21.07,0,0,25,5.0
911726,,293,2,1,2025-02-10,2025-02-10,Completed,Franklin,88.59,0.92,0.9,23.64,20.96,0,0,36,4.8
914887,,374,2,1,2025-02-10,2025-02-10,Completed,Franklin,122.6,0.99,0.86,31.33,28.66,0,0,33,4.8
901084,,28,2,1,2025-02-10,2025-02-10,Completed,Nolensville,98.28,0.83,0.78,23.65,24.37,0,0,20,4.7
909611,,232,2,4,2025-02-10,2025-02-10,Completed,Spring Hill,95.49,0.86,0.74,20.46,19.51,0,0,30,4.3
901735,,41,2,2,2025-02-11,2025-02-11,Completed,Franklin,88.39,0.77,0.83,23.08,21.45,0,0,29,4.2
902831,,69,2,3,2025-02-11,2025-02-11,Completed,Brentwood,87.49,0.9,1.04,20.18,18.61,0,0,28,4.6
903588,,92,2,2,2025-02-11,2025-02-11,Completed,Franklin,122.65,1.12,1.19,29.78,28.59,0,0,18,4.8
908858,,212,2,4,2025-02-11,2025-02-11,Completed,Spring Hill,112.17,0.79,0.71,21.28,22.32,0,0,19,4.6
912998,,330,2,5,2025-02-11,2025-02-11,Completed,Franklin,89.41,0.83,0.84,21.61,20.82,0,0,50,5.0
906345,,161,2,3,2025-02-11,2025-02-11,Completed,Brentwood,100.81,0.79,1.01,20.74,23.88,0,0,24,4.7
901565,,38,2,1,2025-02-11,2025-02-11,Completed,Nolensville,87.99,0.92,0.81,22.45,23.12,0,0,23,4.9
905159,,132,2,4,2025-02-11,2025-02-11,Completed,Spring Hill,94.34,0.84,0.84,22.52,24.68,0,0,20,4.5
909225,,222,2,2,2025-02-11,2025-02-11,Completed,Franklin,119.77,1.11,0.98,30.41,28.43,0,0,14,4.4
904887,,123,2,5,2025-02-11,2025-02-11,Completed,Nashville,93.38,0.82,0.82,20.67,17.76,0,0,30,4.6
905705,,145,2,1,2025-02-11,2025-02-11,Completed,Brentwood,178.33,1.64,1.76,45.81,44.18,0,0,38,5.0
901150,,29,2,5,2025-02-11,2025-02-11,Completed,Franklin,155.92,1.14,1.1,29.86,30.58,0,0,42,4.8
916712,,416,2,3,2025-02-11,2025-02-11,Completed,Brentwood,115.74,1.14,1.39,32.41,37.29,0,0,32,4.9
914018,,353,2,4,2025-02-11,2025-02-11,Completed,Nolensville,103.46,0.87,0.74,20.61,19.01,0,0,49,4.8
914093,,355,2,2,2025-02-11,2025-02-11,Completed,Franklin,86.22,0.85,0.86,23.59,26.6,0,0,26,4.6
910742,,262,2,4,2025-02-11,2025-02-11,Completed,Spring Hill,106.97,0.97,1.03,21.41,23.96,0,0,35,5.0
903521,,88,2,5,2025-02-11,2025-02-11,Completed,Nolensville,126.1,0.81,0.88,18.96,17.5,0,0,28,4.7
903862,,99,2,2,2025-02-11,2025-02-11,Completed,Franklin,122.33,1.15,1.05,26.19,27.66,0,0,25,4.7
904539,,115,2,5,2025-02-11,2025-02-11,Completed,Nashville,116.23,0.97,1.01,22.22,22.72,0,0,17,4.8
910015,,242,2,1,2025-02-11,2025-02-11,Completed,Nolensville,133.53,0.99,0.93,31.18,31.85,0,0,8,4.9
916543,,412,2,5,2025-02-12,2025-02-12,Completed,Nashville,114.81,1.04,1.22,30.34,30.76,0,0,13,4.7
907296,,181,2,1,2025-02-12,2025-02-12,Completed,Nashville,85.48,0.81,0.88,23.61,23.34,0,0,47,4.7
912800,,324,2,2,2025-02-12,2025-02-12,Completed,Franklin,97.93,0.85,0.81,25.17,28.93,0,0,21,4.5
902765,,66,2,4,2025-02-12,2025-02-12,Completed,Spring Hill,126.87,1.12,0.93,31.31,30.96,0,0,34,5.0
909301,,226,2,1,2025-02-11,2025-02-12,Completed,Nolensville,118.07,1.23,1.16,31.55,36.11,0,1,39,4.9
909780,,235,2,2,2025-02-12,2025-02-12,Completed,Franklin,102.36,0.95,0.98,23.94,24.96,0,0,41,4.8
903483,,87,2,1,2025-02-12,2025-02-12,Completed,Nolensville,92.58,0.84,0.79,21.64,25.05,0,0,28,4.5
906619,,167,2,3,2025-02-12,2025-02-12,Completed,Spring Hill,100.15,0.96,1.14,19.54,20.18,0,0,22,4.9
906232,,157,2,2,2025-02-12,2025-02-12,Completed,Franklin,95.86,0.83,0.88,22.71,21.58,0,0,13,4.8
908200,,198,2,1,2025-02-12,2025-02-12,Completed,Franklin,177.13,1.56,1.59,40.78,42.89,0,0,50,4.5
900952,,25,2,2,2025-02-11,2025-02-12,Completed,Spring Hill,117.76,1.28,1.31,30.72,29.05,0,1,36,4.7
917324,50759,178,3,1,2025-02-12,2025-02-12,Completed,Spring Hill,387.16,4.68,3.85,103.91,85.71,0,0,45,4.7
916609,,413,2,3,2025-02-12,2025-02-12,Completed,Brentwood,118.3,1.13,1.17,32.96,33.56,0,0,34,4.8
900338,,9,2,1,2025-02-12,2025-02-12,Completed,Franklin,91.98,0.89,0.79,23.2,23.94,0,0,43,4.6
908342,,201,2,4,2025-02-11,2025-02-12,Completed,Spring Hill,92.31,0.86,0.82,21.93,22.02,0,1,44,4.8
914055,,354,2,4,2025-02-12,2025-02-12,Completed,Spring Hill,94.77,0.84,0.76,21.57,23.57,0,0,23,4.6
902594,,62,2,5,2025-02-12,2025-02-12,Completed,Nashville,120.59,1.05,1.2,26.04,23.93,0,0,23,4.5
911933,,299,2,1,2025-02-12,2025-02-12,Completed,Brentwood,92.76,0.86,0.72,23.68,23.38,0,0,34,4.9
908068,,196,2,3,2025-02-12,2025-02-12,Completed,Franklin,101.29,0.87,1.04,22.25,20.26,0,0,27,4.7
904577,,116,2,2,2025-02-12,2025-02-12,Completed,Franklin,95.63,0.91,0.93,21.2,24.47,0,0,20,4.8
914782,,372,2,3,2025-02-12,2025-02-12,Completed,Brentwood,180.44,1.74,1.91,44.24,45.6,0,0,16,4.5
902141,,51,2,3,2025-02-12,2025-02-12,Completed,Brentwood,104.73,0.78,0.91,22.16,24.26,0,0,24,4.4
910572,,256,2,4,2025-02-12,2025-02-12,Completed,Spring Hill,91.68,0.88,0.74,22.56,23.12,0,0,28,4.8
905771,,146,2,2,2025-02-13,2025-02-13,Completed,Franklin,93.4,0.95,0.89,21.71,20.02,0,0,32,4.7
914963,,376,2,5,2025-02-13,2025-02-13,Completed,Nashville,133.07,1.17,1.23,31.71,31.59,0,0,32,4.6
905668,,144,2,1,2025-02-13,2025-02-13,Completed,Franklin,92.69,0.72,0.64,22.65,20.37,0,0,30,4.8
900886,,22,2,4,2025-02-13,2025-02-13,Completed,Spring Hill,118.05,0.84,0.66,22.4,21.67,0,0,22,4.7
910128,,247,2,4,2025-02-13,2025-02-13,Completed,Spring Hill,107.22,0.83,0.86,21.85,20.18,0,0,27,4.9
913128,,333,2,5,2025-02-13,2025-02-13,Completed,Nashville,129.97,1.15,1.14,28.33,28.9,0,0,24,4.7
901018,,27,2,1,2025-02-13,2025-02-13,Completed,Nolensville,139.18,1.14,1.0,29.35,28.75,0,0,22,4.5
909913,,238,2,2,2025-02-13,2025-02-13,Completed,Nashville,91.17,0.86,1.07,21.89,21.03,0,0,21,4.5
900745,,18,2,2,2025-02-13,2025-02-13,Completed,Franklin,101.39,0.78,0.74,22.18,21.47,0,0,37,4.9
912659,,320,2,1,2025-02-12,2025-02-13,Completed,Nolensville,128.3,1.03,1.13,28.85,27.85,0,1,22,4.7
914160,,356,2,3,2025-02-13,2025-02-13,Completed,Brentwood,122.49,1.08,1.39,31.44,33.55,0,0,25,4.5
906269,,158,2,3,2025-02-13,2025-02-13,Completed,Brentwood,118.34,0.91,1.03,20.1,19.01,0,0,22,4.7
914293,,359,2,2,2025-02-11,2025-02-13,Completed,Nolensville,124.98,1.04,1.15,33.99,42.3,0,1,56,4.9
903351,,85,2,3,2025-02-13,2025-02-13,Completed,Brentwood,128.69,1.09,1.26,27.47,26.56,0,0,22,4.8
911043,,270,2,4,2025-02-13,2025-02-13,Completed,Spring Hill,95.22,0.92,0.91,21.99,21.38,0,0,16,4.7
901357,,34,2,4,2025-02-13,2025-02-13,Completed,Spring Hill,110.03,0.84,0.88,22.39,21.74,0,0,29,4.7
906015,,151,2,5,2025-02-13,2025-02-13,Completed,Nashville,98.26,0.86,0.96,24.7,21.76,0,0,21,4.6
912206,,307,2,1,2025-02-13,2025-02-13,Completed,Nolensville,97.67,0.86,0.8,23.39,23.61,0,0,23,4.5
908304,,200,2,3,2025-02-13,2025-02-13,Completed,Brentwood,108.94,0.86,1.07,22.74,23.87,0,0,17,4.5
908408,,203,2,1,2025-02-13,2025-02-13,Completed,Nolensville,120.68,1.09,0.99,29.33,31.01,0,0,8,4.6
916056,,399,2,5,2025-02-13,2025-02-13,Completed,Nashville,90.73,0.9,1.07,23.4,23.1,0,0,35,4.7
912556,,317,2,1,2025-02-11,2025-02-13,Completed,Nolensville,115.15,1.16,1.2,29.18,27.56,0,1,28,4.9
914630,,367,2,1,2025-02-11,2025-02-13,Completed,Spring Hill,88.28,0.89,0.85,20.43,20.85,0,1,25,4.5
904474,,114,2,5,2025-02-13,2025-02-13,Completed,Nashville,109.68,0.8,0.75,21.87,22.49,0,0,14,4.9
902208,,52,2,2,2025-02-14,2025-02-14,Completed,Franklin,189.7,1.75,1.67,47.19,48.73,0,0,21,5.0
900197,,4,2,4,2025-02-14,2025-02-14,Completed,Spring Hill,131.35,1.2,1.13,29.59,31.29,0,0,8,5.0
906128,,155,2,3,2025-02-14,2025-02-14,Completed,Brentwood,97.02,0.82,1.0,25.4,23.19,0,0,16,4.7
903105,,77,2,4,2025-02-14,2025-02-14,Completed,Spring Hill,110.93,0.98,0.91,22.45,24.94,0,0,14,4.4
911221,,280,2,4,2025-02-14,2025-02-14,Completed,Nolensville,83.1,0.73,0.71,22.16,25.39,0,0,43,4.7
912101,,304,2,2,2025-02-14,2025-02-14,Completed,Franklin,150.13,1.17,1.13,28.65,31.53,0,0,16,4.6
912762,,323,2,5,2025-02-14,2025-02-14,Completed,Franklin,113.42,0.9,1.05,20.7,17.81,0,0,38,4.9
903692,,96,2,4,2025-02-14,2025-02-14,Completed,Spring Hill,98.9,0.83,0.73,25.25,22.93,0,0,24,4.4
916131,,402,2,2,2025-02-14,2025-02-14,Completed,Franklin,110.23,0.89,0.89,20.6,18.5,0,0,8,4.5
914227,,357,2,2,2025-02-14,2025-02-14,Completed,Franklin,120.31,1.2,1.23,29.67,34.23,0,0,24,4.3
911286,,281,2,5,2025-02-14,2025-02-14,Completed,Nashville,88.81,0.79,0.85,19.43,20.32,0,0,21,5.0
914462,,363,2,5,2025-02-14,2025-02-14,Completed,Nashville,87.88,0.87,0.94,21.76,24.55,0,0,25,4.7
902518,,60,2,2,2025-02-14,2025-02-14,Completed,Franklin,95.22,0.88,0.95,23.09,22.61,0,0,24,4.7
903247,,83,2,2,2025-02-14,2025-02-14,Completed,Franklin,96.64,0.93,0.97,24.04,23.01,0,0,28,4.4
904821,,122,2,1,2025-02-14,2025-02-14,Completed,Nashville,139.62,1.24,1.35,31.92,29.34,0,0,27,4.4
917585,51279,312,6,5,2025-02-14,2025-02-14,Completed,Nashville,6935.27,57.63,51.29,2688.89,2983.86,0,0,25,4.8
905837,,147,2,1,2025-02-14,2025-02-14,Completed,Nolensville,94.03,0.9,0.91,22.15,22.22,0,0,8,4.7
901906,,44,2,2,2025-02-14,2025-02-14,Completed,Brentwood,98.05,0.83,0.93,22.02,21.19,0,0,41,4.4
903285,,84,2,4,2025-02-15,2025-02-15,Completed,Spring Hill,94.56,0.88,0.8,20.62,20.56,0,0,20,4.7
902275,,53,2,1,2025-02-15,2025-02-15,Completed,Nolensville,139.89,1.1,0.99,31.17,29.9,0,0,14,4.2
906052,,152,2,2,2025-02-14,2025-02-15,Completed,Brentwood,97.11,0.87,0.87,22.74,23.52,0,1,43,4.8
905301,,137,2,1,2025-02-15,2025-02-15,Completed,Nolensville,132.39,1.18,1.14,31.38,29.76,0,0,28,4.7
903928,,100,2,4,2025-02-15,2025-02-15,Completed,Spring Hill,188.12,1.53,1.42,44.09,50.11,0,0,30,4.9
905472,,140,2,1,2025-02-15,2025-02-15,Completed,Nolensville,85.34,0.81,0.78,23.75,22.43,0,0,30,4.7
907729,,190,2,1,2025-02-15,2025-02-15,Completed,Nolensville,165.03,1.09,1.17,30.44,31.65,0,0,12,5.0
910193,,248,2,1,2025-02-15,2025-02-15,Completed,Nolensville,181.91,1.6,1.51,44.09,39.61,0,0,11,4.4
904745,,120,2,1,2025-02-15,2025-02-15,Completed,Nolensville,129.25,1.25,1.12,27.79,27.2,0,0,23,4.6
900095,,2,2,4,2025-02-15,2025-02-15,Completed,Brentwood,92.67,0.89,0.92,22.25,22.97,0,0,26,4.6
901489,,36,2,2,2025-02-14,2025-02-15,Completed,Brentwood,138.71,1.27,1.1,30.13,31.49,0,1,22,5.0
902037,,47,2,2,2025-02-13,2025-02-15,Completed,Franklin,107.09,0.9,0.87,22.26,19.55,0,1,8,4.3
910534,,255,2,4,2025-02-15,2025-02-15,Completed,Spring Hill,90.02,0.84,0.72,23.54,21.5,0,0,24,5.0
904096,,104,2,2,2025-02-15,2025-02-15,Completed,Franklin,98.96,1.01,0.97,21.19,19.58,0,0,20,4.9
915312,,384,2,5,2025-02-15,2025-02-15,Completed,Nolensville,112.01,0.77,0.71,20.32,22.32,0,0,20,4.7
910977,,269,2,1,2025-02-15,2025-02-15,Completed,Nolensville,95.63,0.89,0.83,19.53,17.22,0,0,27,4.7
913914,,351,2,1,2025-02-15,2025-02-15,Completed,Nolensville,97.63,0.8,0.78,22.59,25.98,0,0,28,5.0
915237,,382,2,1,2025-02-15,2025-02-15,Completed,Franklin,119.27,0.79,0.72,22.66,24.56,0,0,41,4.9
905406,,139,2,1,2025-02-15,2025-02-15,Completed,Nolensville,90.84,0.86,0.79,20.58,19.73,0,0,41,5.0
901292,,32,2,2,2025-02-15,2025-02-15,Completed,Franklin,99.12,0.86,0.78,22.19,22.93,0,0,27,4.3
915887,,395,2,1,2025-02-15,2025-02-15,Completed,Nolensville,89.89,0.86,0.83,23.53,22.73,0,0,20,4.6
917068,50264,66,3,4,2025-02-15,2025-02-15,Completed,Spring Hill,880.33,11.84,11.55,226.69,182.87,0,0,22,4.6
905083,,126,2,3,2025-02-13,2025-02-15,Completed,Brentwood,128.31,1.16,1.4,31.01,32.94,1,1,31,4.4
905197,,133,2,3,2025-02-16,2025-02-16,Completed,Brentwood,84.52,0.91,0.89,21.89,23.37,0,0,27,4.7
905018,,125,2,2,2025-02-16,2025-02-16,Completed,Franklin,122.96,1.14,1.17,31.3,29.2,0,0,17,4.5
910844,,267,2,5,2025-02-16,2025-02-16,Completed,Nashville,173.43,1.61,1.77,42.36,45.03,0,0,17,4.7
910297,,250,2,1,2025-02-16,2025-02-16,Completed,Nolensville,125.49,1.04,1.04,29.45,28.79,0,0,16,4.5
902416,,57,2,5,2025-02-16,2025-02-16,Completed,Nashville,110.38,0.86,0.92,20.11,19.81,0,0,22,4.5
902661,,64,2,3,2025-02-16,2025-02-16,Completed,Brentwood,134.56,1.25,1.39,30.06,26.56,0,0,19,4.6
