invoice_id,job_id,customer_id,invoice_date,invoice_amount,payment_status,days_to_pay,paid_date
700090,902481,58,2025-02-10,122.14,Paid,24,2025-03-06
700091,908989,215,2025-02-12,185.89,Paid,13,2025-02-25
700092,914359,361,2025-02-12,93.04,Paid,0,2025-02-12
700093,907060,177,2025-02-11,90.95,Paid,5,2025-02-16
700094,901254,31,2025-02-10,178.19,Paid,22,2025-03-04
700095,908754,210,2025-02-12,97.98,Paid,13,2025-02-25
700096,914849,373,2025-02-11,91.77,Paid,6,2025-02-17
700097,907870,193,2025-02-12,96.92,Paid,18,2025-03-02
700098,911726,293,2025-02-11,88.59,Paid,9,2025-02-20
700099,914887,374,2025-02-12,122.6,Paid,3,2025-02-15
700100,901084,28,2025-02-12,98.28,Paid,17,2025-03-01
700101,909611,232,2025-02-10,95.49,Paid,16,2025-02-26
700102,901735,41,2025-02-12,88.39,Paid,12,2025-02-24
700103,902831,69,2025-02-11,87.49,Paid,4,2025-02-15
700104,903588,92,2025-02-12,122.65,Paid,0,2025-02-12
700105,908858,212,2025-02-13,112.17,Paid,6,2025-02-19
700106,912998,330,2025-02-12,89.41,Paid,0,2025-02-12
700107,906345,161,2025-02-11,100.81,Paid,7,2025-02-18
700108,901565,38,2025-02-11,87.99,Paid,3,2025-02-14
700109,905159,132,2025-02-12,94.34,Paid,10,2025-02-22
700110,909225,222,2025-02-11,119.77,Paid,12,2025-02-23
700111,904887,123,2025-02-12,93.38,Paid,5,2025-02-17
700112,905705,145,2025-02-11,178.33,Paid,0,2025-02-11
700113,901150,29,2025-02-13,155.92,Paid,11,2025-02-24
700114,916712,416,2025-02-13,115.74,Paid,3,2025-02-16
700115,914018,353,2025-02-13,103.46,Paid,0,2025-02-13
700116,914093,355,2025-02-12,86.22,Paid,12,2025-02-24
700117,910742,262,2025-02-12,106.97,Paid,15,2025-02-27
700118,903521,88,2025-02-13,126.1,Paid,15,2025-02-28
700119,903862,99,2025-02-11,122.33,Paid,13,2025-02-24
700120,904539,115,2025-02-13,116.23,Paid,31,2025-03-16
700121,910015,242,2025-02-13,133.53,Paid,11,2025-02-24
700122,916543,412,2025-02-14,114.81,Paid,2,2025-02-16
700123,907296,181,2025-02-13,85.48,Paid,5,2025-02-18
700124,912800,324,2025-02-14,97.93,Paid,0,2025-02-14
700125,902765,66,2025-02-12,126.87,Paid,4,2025-02-16
700126,909301,226,2025-02-12,118.07,Paid,6,2025-02-18
700127,909780,235,2025-02-12,102.36,Paid,0,2025-02-12
700128,903483,87,2025-02-14,92.58,Paid,0,2025-02-14
700129,906619,167,2025-02-14,100.15,Paid,0,2025-02-14
700130,906232,157,2025-02-13,95.86,Paid,0,2025-02-13
700131,908200,198,2025-02-14,177.13,Paid,11,2025-02-25
700132,900952,25,2025-02-13,117.76,Paid,14,2025-02-27
700133,917324,178,2025-02-12,387.16,Paid,9,2025-02-21
700134,916609,413,2025-02-12,118.3,Paid,9,2025-02-21
700135,900338,9,2025-02-13,91.98,Paid,3,2025-02-16
700136,908342,201,2025-02-12,92.31,Paid,14,2025-02-26
700137,914055,354,2025-02-14,94.77,Paid,13,2025-02-27
700138,902594,62,2025-02-14,120.59,Paid,15,2025-03-01
700139,911933,299,2025-02-13,92.76,Paid,21,2025-03-06
700140,908068,196,2025-02-14,101.29,Paid,9,2025-02-23
700141,904577,116,2025-02-14,95.63,Paid,4,2025-02-18
700142,914782,372,2025-02-13,180.44,Paid,2,2025-02-15
700143,902141,51,2025-02-14,104.73,Paid,30,2025-03-16
700144,910572,256,2025-02-14,91.68,Paid,5,2025-02-19
700145,905771,146,2025-02-14,93.4,Paid,14,2025-02-28
700146,914963,376,2025-02-13,133.07,Paid,13,2025-02-26
700147,905668,144,2025-02-15,92.69,Paid,0,2025-02-15
700148,900886,22,2025-02-14,118.05,Paid,34,2025-03-20
700149,910128,247,2025-02-13,107.22,Paid,3,2025-02-16
700150,913128,333,2025-02-13,129.97,Paid,10,2025-02-23
700151,901018,27,2025-02-13,139.18,Paid,11,2025-02-24
700152,909913,238,2025-02-15,91.17,Paid,4,2025-02-19
700153,900745,18,2025-02-13,101.39,Paid,5,2025-02-18
700154,912659,320,2025-02-13,128.3,Paid,12,2025-02-25
700155,914160,356,2025-02-13,122.49,Paid,7,2025-02-20
700156,906269,158,2025-02-13,118.34,Paid,14,2025-02-27
700157,914293,359,2025-02-14,124.98,Paid,3,2025-02-17
700158,903351,85,2025-02-15,128.69,Paid,13,2025-02-28
700159,911043,270,2025-02-14,95.22,Paid,12,2025-02-26
700160,901357,34,2025-02-13,110.03,Paid,13,2025-02-26
700161,906015,151,2025-02-15,98.26,Paid,0,2025-02-15
700162,912206,307,2025-02-14,97.67,Paid,0,2025-02-14
700163,908304,200,2025-02-14,108.94,Paid,25,2025-03-11
700164,908408,203,2025-02-14,120.68,Paid,0,2025-02-14
700165,916056,399,2025-02-15,90.73,Paid,8,2025-02-23
700166,912556,317,2025-02-15,115.15,Paid,14,2025-03-01
700167,914630,367,2025-02-14,88.28,Paid,12,2025-02-26
700168,904474,114,2025-02-14,109.68,Paid,24,2025-03-10
700169,902208,52,2025-02-14,189.7,Paid,0,2025-02-14
700170,900197,4,2025-02-15,131.35,Paid,15,2025-03-02
700171,906128,155,2025-02-16,97.02,Paid,6,2025-02-22
700172,903105,77,2025-02-14,110.93,Paid,25,2025-03-11
700173,911221,280,2025-02-14,83.1,Paid,6,2025-02-20
700174,912101,304,2025-02-16,150.13,Paid,25,2025-03-13
700175,912762,323,2025-02-15,113.42,Paid,38,2025-03-25
700176,903692,96,2025-02-14,98.9,Paid,10,2025-02-24
700177,916131,402,2025-02-16,110.23,Paid,16,2025-03-04
700178,914227,357,2025-02-16,120.31,Paid,8,2025-02-24
700179,911286,281,2025-02-16,88.81,Paid,9,2025-02-25
700180,914462,363,2025-02-14,87.88,Paid,3,2025-02-17
700181,902518,60,2025-02-15,95.22,Paid,7,2025-02-22
700182,903247,83,2025-02-16,96.64,Paid,0,2025-02-16
700183,904821,122,2025-02-16,139.62,Paid,16,2025-03-04
700184,917585,312,2025-02-15,6935.27,Paid,18,2025-03-05
700185,905837,147,2025-02-14,94.03,Paid,9,2025-02-23
700186,901906,44,2025-02-16,98.05,Paid,12,2025-02-28
700187,903285,84,2025-02-17,94.56,Paid,11,2025-02-28
700188,902275,53,2025-02-16,139.89,Paid,24,2025-03-12
700189,906052,152,2025-02-17,97.11,Paid,4,2025-02-21
700190,905301,137,2025-02-16,132.39,Paid,7,2025-02-23
700191,903928,100,2025-02-17,188.12,Paid,6,2025-02-23
700192,905472,140,2025-02-17,85.34,Paid,0,2025-02-17
700193,907729,190,2025-02-15,165.03,Paid,24,2025-03-11
700194,910193,248,2025-02-15,181.91,Paid,20,2025-03-07
700195,904745,120,2025-02-16,129.25,Paid,0,2025-02-16
700196,900095,2,2025-02-15,92.67,Paid,18,2025-03-05
700197,901489,36,2025-02-16,138.71,Paid,0,2025-02-16
700198,902037,47,2025-02-17,107.09,Paid,3,2025-02-20
700199,910534,255,2025-02-17,90.02,Paid,20,2025-03-09
700200,904096,104,2025-02-15,98.96,Paid,8,2025-02-23
700201,915312,384,2025-02-15,112.01,Paid,24,2025-03-11
700202,910977,269,2025-02-16,95.63,Paid,12,2025-02-28
700203,913914,351,2025-02-16,97.63,Paid,2,2025-02-18
700204,915237,382,2025-02-15,119.27,Paid,30,2025-03-17
700205,905406,139,2025-02-16,90.84,Paid,16,2025-03-04
700206,901292,32,2025-02-15,99.12,Paid,0,2025-02-15
700207,915887,395,2025-02-15,89.89,Paid,3,2025-02-18
700208,917068,66,2025-02-16,880.33,Paid,10,2025-02-26
700209,905083,126,2025-02-16,128.31,Paid,19,2025-03-07
700210,905197,133,2025-02-16,84.52,Paid,18,2025-03-06
700211,905018,125,2025-02-18,122.96,Paid,0,2025-02-18
700212,910844,267,2025-02-16,173.43,Paid,18,2025-03-06
700213,910297,250,2025-02-17,125.49,Paid,6,2025-02-23
700214,902416,57,2025-02-16,110.38,Paid,21,2025-03-09
700215,902661,64,2025-02-16,134.56,Paid,6,2025-02-22
700216,916647,414,2025-02-17,96.79,Paid,13,2025-03-02
700217,911764,294,2025-02-17,149.64,Paid,13,2025-03-02
700218,904436,113,2025-02-16,98.88,Paid,5,2025-02-21
700219,900679,16,2025-02-16,96.38,Paid,6,2025-02-22
700220,916787,418,2025-02-16,97.85,Paid,3,2025-02-19
700221,903825,98,2025-02-18,86.25,Paid,2,2025-02-20
700222,908474,204,2025-02-16,96.69,Paid,9,2025-02-25
700223,901669,40,2025-02-17,89.86,Paid,14,2025-03-03
700224,914397,362,2025-02-18,101.16,Paid,1,2025-02-19
700225,909093,219,2025-02-17,116.31,Paid,24,2025-03-13
700226,907937,194,2025-02-16,95.8,Paid,19,2025-03-07
700227,916093,401,2025-02-18,95.23,Paid,10,2025-02-28
700228,913849,350,2025-02-17,96.98,Paid,2,2025-02-19
700229,908642,207,2025-02-18,117.35,Paid,25,2025-03-15
700230,906166,156,2025-02-16,85.68,Paid,21,2025-03-09
700231,911453,286,2025-02-18,89.24,Paid,9,2025-02-27
700232,903965,102,2025-02-17,115.45,Paid,16,2025-03-05
700233,908266,199,2025-02-17,129.25,Paid,27,2025-03-16
700234,909950,241,2025-02-17,94.24,Paid,0,2025-02-17
700235,910364,251,2025-02-19,94.03,Paid,15,2025-03-06
700236,916505,411,2025-02-19,178.27,Paid,0,2025-02-19
700237,906722,170,2025-02-19,126.17,Paid,0,2025-02-19
700238,917795,410,2025-02-18,844.76,Paid,35,2025-03-25
700239,911183,279,2025-02-18,87.26,Paid,16,2025-03-06
700240,909649,233,2025-02-17,119.43,Paid,0,2025-02-17
700241,915687,391,2025-02-18,116.97,Paid,15,2025-03-05
700242,904031,103,2025-02-17,124.8,Paid,5,2025-02-22
700243,904953,124,2025-02-18,122.54,Paid,13,2025-03-03
700244,902898,70,2025-02-19,110.55,Paid,41,2025-04-01
700245,912593,318,2025-02-18,97.24,Paid,1,2025-02-19
700246,907464,184,2025-02-17,120.55,Paid,14,2025-03-03
700247,910637,259,2025-02-18,188.88,Paid,0,2025-02-18
700248,913270,336,2025-02-17,136.18,Paid,0,2025-02-17
700249,909546,231,2025-02-19,130.43,Paid,4,2025-02-23
700250,904332,110,2025-02-17,124.1,Paid,33,2025-03-22
700251,917622,328,2025-02-18,482.89,Paid,22,2025-03-12
700252,911829,295,2025-02-18,116.03,Paid,23,2025-03-13
700253,913679,347,2025-02-20,92.5,Paid,1,2025-02-21
700254,900272,7,2025-02-19,94.52,Paid,5,2025-02-24
700255,904398,111,2025-02-20,97.48,Paid,11,2025-03-03
700256,917550,295,2025-02-18,449.14,Paid,38,2025-03-28
700257,909846,236,2025-02-20,174.48,Paid,0,2025-02-20
700258,906488,165,2025-02-18,86.87,Paid,18,2025-03-08
700259,911556,288,2025-02-20,105.22,Paid,25,2025-03-17
700260,901424,35,2025-02-18,91.81,Paid,10,2025-02-28
700261,916337,408,2025-02-18,97.45,Paid,0,2025-02-18
700262,906798,172,2025-02-18,96.28,Paid,5,2025-02-23
700263,905339,138,2025-02-20,89.56,Paid,1,2025-02-21
700264,909470,229,2025-02-19,97.12,Paid,7,2025-02-26
700265,914925,375,2025-02-19,99.7,Paid,9,2025-02-28
700266,906307,159,2025-02-20,150.99,Paid,5,2025-02-25
700267,917733,383,2025-02-19,306.25,Paid,6,2025-02-25
700268,902556,61,2025-02-18,115.1,Paid,26,2025-03-16
700269,907794,191,2025-02-19,191.23,Paid,13,2025-03-04
700270,902699,65,2025-02-20,100.55,Paid,10,2025-03-02
700271,913404,340,2025-02-20,113.68,Paid,10,2025-03-02
700272,903001,72,2025-02-21,128.32,Paid,1,2025-02-22
700273,900782,19,2025-02-20,92.27,Paid,0,2025-02-20
700274,908717,209,2025-02-21,103.16,Paid,0,2025-02-21
700275,915028,377,2025-02-21,131.84,Paid,8,2025-03-01
700276,914744,371,2025-02-20,96.91,Paid,8,2025-02-28
700277,903142,79,2025-02-20,85.61,Paid,10,2025-03-02
700278,906930,175,2025-02-19,157.41,Paid,23,2025-03-14
700279,908605,206,2025-02-20,100.6,Paid,12,2025-03-04
700280,911867,298,2025-02-19,86.11,Paid,11,2025-03-02
700281,915991,398,2025-02-21,107.96,Paid,20,2025-03-13
700282,912481,314,2025-02-19,112.74,Paid,25,2025-03-16
700283,912244,308,2025-02-21,95.93,Paid,9,2025-03-02
700284,912697,322,2025-02-21,175.93,Paid,9,2025-03-02
700285,915622,390,2025-02-21,92.52,Paid,5,2025-02-26
700286,900234,6,2025-02-21,92.58,Paid,10,2025-03-03
700287,901773,42,2025-02-20,130.01,Paid,9,2025-03-01
700288,908133,197,2025-02-21,134.37,Paid,17,2025-03-10
700289,909263,225,2025-02-19,97.04,Paid,0,2025-02-19
700290,909366,227,2025-02-20,95.05,Paid,10,2025-03-02
700291,915518,388,2025-02-19,96.35,Paid,14,2025-03-05
700292,907663,188,2025-02-19,108.96,Paid,17,2025-03-08
700293,916749,417,2025-02-20,99.0,Paid,0,2025-02-20
700294,914565,366,2025-02-21,130.1,Paid,7,2025-02-28
700295,907597,187,2025-02-20,95.52,Paid,7,2025-02-27
700296,907164,179,2025-02-21,145.79,Paid,15,2025-03-08
700297,905902,148,2025-02-21,89.02,Paid,2,2025-02-23
700298,913613,345,2025-02-21,95.88,Paid,0,2025-02-21
700299,908003,195,2025-02-22,103.36,Paid,5,2025-02-27
700300,915754,393,2025-02-21,120.97,Paid,13,2025-03-06
700301,910430,252,2025-02-21,86.51,Paid,14,2025-03-07
700302,913203,335,2025-02-21,90.41,Paid,16,2025-03-09
700303,903654,95,2025-02-20,157.32,Paid,34,2025-03-26
700304,913538,342,2025-02-21,95.08,Paid,8,2025-03-01
700305,911388,283,2025-02-21,174.72,Paid,19,2025-03-12
700306,903067,76,2025-02-21,102.9,Paid,2,2025-02-23
700307,900848,21,2025-02-21,141.65,Paid,27,2025-03-20
700308,914528,365,2025-02-20,98.7,Paid,0,2025-02-20
700309,903758,97,2025-02-20,135.51,Paid,0,2025-02-20
700310,916271,406,2025-02-21,90.94,Paid,4,2025-02-25
700311,916233,404,2025-02-21,92.19,Paid,0,2025-02-21
700312,907230,180,2025-02-20,129.55,Paid,8,2025-02-28
700313,912349,312,2025-02-21,215.39,Paid,25,2025-03-18
700314,900614,15,2025-02-21,87.45,Paid,10,2025-03-03
700315,910704,261,2025-02-22,94.9,Paid,0,2025-02-22
700316,917264,154,2025-02-23,679.5,Paid,37,2025-04-01
700317,915161,379,2025-02-23,94.22,Paid,16,2025-03-11
700318,915821,394,2025-02-21,116.64,Paid,34,2025-03-27
700319,900376,10,2025-02-23,93.18,Paid,4,2025-02-27
700320,904162,105,2025-02-21,92.73,Paid,0,2025-02-21
700321,909027,216,2025-02-21,96.51,Paid,5,2025-02-26
700322,916402,409,2025-02-23,125.72,Paid,13,2025-03-08
700323,905538,142,2025-02-22,91.76,Paid,11,2025-03-05
700324,909432,228,2025-02-23,128.04,Paid,0,2025-02-23
700325,915350,385,2025-02-23,132.41,Paid,6,2025-03-01
700326,904265,109,2025-02-21,91.05,Paid,19,2025-03-12
700327,906865,173,2025-02-22,132.12,Paid,15,2025-03-09
700328,902963,71,2025-02-22,97.06,Paid,8,2025-03-02
700329,912932,329,2025-02-21,114.95,Paid,23,2025-03-16
700330,914668,368,2025-02-22,96.75,Paid,0,2025-02-22
700331,915274,383,2025-02-21,92.38,Paid,13,2025-03-06
700332,912036,303,2025-02-23,122.34,Paid,13,2025-03-08
700333,917089,73,2025-02-22,2460.65,Paid,7,2025-03-01
700334,917309,172,2025-02-24,515.8,Paid,14,2025-03-10
700335,910231,249,2025-02-25,138.37,Paid,14,2025-03-11
700336,916927,2,2025-02-27,357.28,Paid,7,2025-03-06
700337,917634,333,2025-02-28,391.8,Paid,7,2025-03-07
700338,916955,18,2025-03-01,319.14,Paid,0,2025-03-01
700339,917683,358,2025-03-02,1564.91,Paid,9,2025-03-11
700340,917371,203,2025-03-02,3651.85,Paid,8,2025-03-10
700341,916980,27,2025-03-08,372.07,Paid,3,2025-03-11
700342,917383,211,2025-03-12,678.62,Paid,22,2025-04-03
700343,916984,28,2025-03-11,3055.54,Paid,12,2025-03-23
700344,917730,382,2025-03-11,392.75,Paid,13,2025-03-24
700345,917329,181,2025-03-13,653.2,Paid,19,2025-04-01
700346,917673,354,2025-03-15,638.15,Paid,0,2025-03-15
700347,917153,103,2025-03-16,393.56,Paid,0,2025-03-16
700348,917087,73,2025-03-18,256.54,Paid,4,2025-03-22
700349,917120,87,2025-03-19,606.23,Paid,11,2025-03-30
700350,917299,170,2025-03-21,806.19,Paid,0,2025-03-21
700351,917758,393,2025-03-21,900.11,Paid,13,2025-04-03
700352,917113,83,2025-03-24,4082.94,Paid,5,2025-03-29
700353,917302,171,2025-03-23,807.46,Paid,12,2025-04-04
700354,912291,312,2025-03-25,144.51,Paid,27,2025-04-21
700355,902387,57,2025-03-25,75.87,Paid,35,2025-04-29
700356,916758,418,2025-03-25,58.12,Paid,0,2025-03-25
700357,915527,389,2025-03-25,54.45,Paid,2,2025-03-27
700358,917245,143,2025-03-24,483.01,Paid,5,2025-03-29
700359,912771,324,2025-03-24,57.79,Paid,8,2025-04-01
700360,902565,62,2025-03-26,76.66,Paid,4,2025-03-30
700361,908142,198,2025-03-24,114.74,Paid,0,2025-03-24
700362,914715,371,2025-03-25,52.54,Paid,11,2025-04-05
700363,906392,164,2025-03-26,60.03,Paid,6,2025-04-01
700364,913923,352,2025-03-26,116.18,Paid,10,2025-04-05
700365,900857,22,2025-03-26,68.76,Paid,18,2025-04-13
700366,906061,153,2025-03-24,81.11,Paid,8,2025-04-01
700367,901782,43,2025-03-26,62.94,Paid,6,2025-04-01
700368,901640,40,2025-03-25,56.64,Paid,0,2025-03-25
700369,915170,381,2025-03-26,81.89,Paid,18,2025-04-13
700370,913346,340,2025-03-24,67.8,Paid,15,2025-04-08
700371,906354,163,2025-03-24,76.45,Paid,4,2025-03-28
700372,902217,53,2025-03-26,97.56,Paid,21,2025-04-16
700373,901498,37,2025-03-27,69.79,Paid,25,2025-04-21
700374,916242,406,2025-03-25,58.64,Paid,8,2025-04-02
700375,915896,397,2025-03-27,60.06,Paid,5,2025-04-01
700376,910986,270,2025-03-25,59.76,Paid,0,2025-03-25
700377,905986,151,2025-03-25,54.26,Paid,0,2025-03-25
700378,908483,205,2025-03-25,83.87,Paid,10,2025-04-04
700379,900347,10,2025-03-26,60.91,Paid,23,2025-04-18
700380,907540,187,2025-03-27,55.62,Paid,6,2025-04-02
700381,914064,355,2025-03-27,57.22,Paid,0,2025-03-27
700382,904896,124,2025-03-25,79.62,Paid,19,2025-04-13
700383,909036,219,2025-03-26,72.03,Paid,22,2025-04-17
700384,906497,166,2025-03-26,56.52,Paid,22,2025-04-17
700385,914302,361,2025-03-27,63.36,Paid,3,2025-03-30
700386,912875,329,2025-03-26,68.95,Paid,18,2025-04-13
700387,904105,105,2025-03-26,57.24,Paid,9,2025-04-04
700388,906278,159,2025-03-26,93.93,Paid,33,2025-04-28
700389,903076,77,2025-03-28,61.86,Paid,22,2025-04-19
700390,900066,2,2025-03-28,62.01,Paid,6,2025-04-03
700391,906175,157,2025-03-26,57.03,Paid,1,2025-03-27
700392,914639,368,2025-03-26,61.3,Paid,27,2025-04-22
700393,910543,256,2025-03-26,54.15,Paid,8,2025-04-03
700394,917173,111,2025-03-28,207.52,Paid,3,2025-03-31
700395,903010,76,2025-03-28,51.24,Paid,0,2025-03-28
700396,915424,387,2025-03-28,68.85,Paid,16,2025-04-13
700397,907239,181,2025-03-28,54.21,Paid,1,2025-03-29
700398,904236,109,2025-03-27,65.07,Paid,0,2025-03-27
700399,909789,236,2025-03-28,115.03,Paid,3,2025-03-31
700400,906769,172,2025-03-27,55.02,Paid,10,2025-04-06
700401,912177,307,2025-03-27,57.63,Paid,18,2025-04-14
700402,908932,215,2025-03-26,116.74,Paid,8,2025-04-03
700403,901744,42,2025-03-26,70.49,Paid,8,2025-04-03
700404,916102,402,2025-03-26,72.37,Paid,26,2025-04-21
700405,915321,385,2025-03-27,84.08,Paid,7,2025-04-03
700406,912490,316,2025-03-27,111.65,Paid,7,2025-04-03
700407,911126,279,2025-03-29,56.7,Paid,4,2025-04-02
700408,907135,179,2025-03-28,84.04,Paid,37,2025-05-04
700409,910505,255,2025-03-27,53.89,Paid,1,2025-03-28
700410,917332,182,2025-03-29,541.58,Paid,9,2025-04-07
700411,902321,55,2025-03-27,90.04,Paid,35,2025-05-01
700412,905168,133,2025-03-29,61.45,Paid,5,2025-04-03
700413,909272,226,2025-03-28,80.33,Paid,13,2025-04-10
700414,901197,31,2025-03-28,122.12,Paid,3,2025-03-31
700415,912358,313,2025-03-28,126.59,Paid,7,2025-04-04
700416,911876,299,2025-03-29,58.55,Paid,14,2025-04-12
700417,904445,114,2025-03-27,69.57,Paid,27,2025-04-23
700418,904586,118,2025-03-29,56.98,Paid,0,2025-03-29
700419,914471,365,2025-03-28,54.68,Paid,0,2025-03-28
700420,909479,230,2025-03-29,124.93,Paid,20,2025-04-18
700421,900961,27,2025-03-28,80.21,Paid,9,2025-04-06
700422,903871,100,2025-03-27,120.22,Paid,10,2025-04-06
700423,904754,121,2025-03-29,66.55,Paid,17,2025-04-15
700424,911499,288,2025-03-27,57.84,Paid,0,2025-03-27
700425,902774,69,2025-03-27,54.86,Paid,5,2025-04-01
700426,914368,362,2025-03-29,53.67,Paid,0,2025-03-29
700427,914753,372,2025-03-28,126.38,Paid,2,2025-03-30
700428,903218,83,2025-03-29,57.43,Paid,15,2025-04-13
700429,913754,349,2025-03-28,120.75,Paid,12,2025-04-09
700430,914236,359,2025-03-30,80.24,Paid,0,2025-03-30
700431,903530,92,2025-03-29,80.15,Paid,0,2025-03-29
700432,908763,211,2025-03-28,71.56,Paid,24,2025-04-21
700433,910853,268,2025-03-28,58.44,Paid,0,2025-03-28
700434,914791,373,2025-03-29,56.81,Paid,0,2025-03-29
