job_id,employee_id,crew_id,work_date,labor_hours,labor_cost
908989,1003,1,2025-02-10,0.53,11.4
914359,1013,5,2025-02-10,0.26,6.61
914359,1014,5,2025-02-10,0.44,8.67
914359,1015,5,2025-02-10,0.21,3.97
907060,1007,3,2025-02-10,0.32,7.24
907060,1008,3,2025-02-10,0.44,9.35
907060,1009,3,2025-02-10,0.18,3.62
901254,1013,5,2025-02-10,0.29,7.37
901254,1014,5,2025-02-10,0.56,11.03
901254,1015,5,2025-02-10,0.62,11.72
908754,1001,1,2025-02-10,0.17,4.16
908754,1002,1,2025-02-10,0.25,5.3
908754,1003,1,2025-02-10,0.26,5.59
914849,1001,1,2025-02-10,0.32,7.84
914849,1002,1,2025-02-10,0.08,1.7
914849,1003,1,2025-02-10,0.41,8.81
907870,1004,2,2025-02-10,0.48,10.52
907870,1005,2,2025-02-10,0.29,5.86
907870,1006,2,2025-02-10,0.23,4.59
911726,1001,1,2025-02-10,0.61,14.94
911726,1002,1,2025-02-10,0.07,1.48
911726,1003,1,2025-02-10,0.22,4.73
914887,1001,1,2025-02-10,0.07,1.71
914887,1002,1,2025-02-10,0.13,2.76
914887,1003,1,2025-02-10,0.65,13.97
901084,1001,1,2025-02-10,0.26,6.37
901084,1002,1,2025-02-10,0.24,5.09
901084,1003,1,2025-02-10,0.28,6.02
909611,1010,4,2025-02-10,0.52,12.87
909611,1011,4,2025-02-10,0.02,0.37
909611,1012,4,2025-02-10,0.19,3.51
901735,1004,2,2025-02-11,0.37,8.11
901735,1005,2,2025-02-11,0.2,4.04
901735,1006,2,2025-02-11,0.26,5.19
902831,1007,3,2025-02-11,0.53,12.0
902831,1008,3,2025-02-11,0.34,7.22
902831,1009,3,2025-02-11,0.17,3.42
903588,1004,2,2025-02-11,0.54,11.84
903588,1005,2,2025-02-11,0.38,7.68
903588,1006,2,2025-02-11,0.27,5.39
908858,1010,4,2025-02-11,0.17,4.21
908858,1011,4,2025-02-11,0.09,1.68
908858,1012,4,2025-02-11,0.45,8.31
912998,1013,5,2025-02-11,0.4,10.16
912998,1014,5,2025-02-11,0.32,6.3
912998,1015,5,2025-02-11,0.12,2.27
906345,1007,3,2025-02-11,0.25,5.66
906345,1008,3,2025-02-11,0.45,9.56
906345,1009,3,2025-02-11,0.31,6.23
901565,1001,1,2025-02-11,0.27,6.61
901565,1002,1,2025-02-11,0.45,9.54
901565,1003,1,2025-02-11,0.09,1.93
905159,1010,4,2025-02-11,0.39,9.65
905159,1011,4,2025-02-11,0.25,4.66
905159,1012,4,2025-02-11,0.2,3.69
909225,1004,2,2025-02-11,0.44,9.64
909225,1005,2,2025-02-11,0.13,2.63
909225,1006,2,2025-02-11,0.4,7.99
904887,1013,5,2025-02-11,0.22,5.59
904887,1014,5,2025-02-11,0.2,3.94
904887,1015,5,2025-02-11,0.4,7.56
905705,1001,1,2025-02-11,0.72,17.63
905705,1002,1,2025-02-11,0.56,11.87
905705,1003,1,2025-02-11,0.47,10.1
901150,1013,5,2025-02-11,0.28,7.11
901150,1014,5,2025-02-11,0.46,9.06
901150,1015,5,2025-02-11,0.36,6.81
916712,1007,3,2025-02-11,0.56,12.68
916712,1008,3,2025-02-11,0.56,11.89
916712,1009,3,2025-02-11,0.27,5.43
914018,1010,4,2025-02-11,0.15,3.71
914018,1011,4,2025-02-11,0.18,3.35
914018,1012,4,2025-02-11,0.41,7.57
914093,1004,2,2025-02-11,0.4,8.77
914093,1005,2,2025-02-11,0.22,4.44
914093,1006,2,2025-02-11,0.24,4.79
910742,1010,4,2025-02-11,0.09,2.23
910742,1011,4,2025-02-11,0.65,12.11
910742,1012,4,2025-02-11,0.29,5.36
903521,1013,5,2025-02-11,0.28,7.11
903521,1014,5,2025-02-11,0.29,5.71
903521,1015,5,2025-02-11,0.31,5.86
903862,1004,2,2025-02-11,0.16,3.51
903862,1005,2,2025-02-11,0.33,6.67
903862,1006,2,2025-02-11,0.56,11.18
904539,1013,5,2025-02-11,0.53,13.47
904539,1014,5,2025-02-11,0.27,5.32
904539,1015,5,2025-02-11,0.21,3.97
910015,1001,1,2025-02-11,0.58,14.2
910015,1002,1,2025-02-11,0.2,4.24
910015,1003,1,2025-02-11,0.15,3.23
916543,1013,5,2025-02-12,0.33,8.39
916543,1014,5,2025-02-12,0.44,8.67
916543,1015,5,2025-02-12,0.46,8.7
907296,1001,1,2025-02-12,0.29,7.1
907296,1002,1,2025-02-12,0.35,7.42
907296,1003,1,2025-02-12,0.25,5.38
912800,1004,2,2025-02-12,0.12,2.63
912800,1005,2,2025-02-12,0.29,5.86
912800,1006,2,2025-02-12,0.4,7.99
902765,1010,4,2025-02-12,0.16,3.96
902765,1011,4,2025-02-12,0.23,4.28
902765,1012,4,2025-02-12,0.54,9.97
909301,1001,1,2025-02-12,0.36,8.82
909301,1002,1,2025-02-12,0.24,5.09
909301,1003,1,2025-02-12,0.57,12.25
909780,1004,2,2025-02-12,0.4,8.77
909780,1005,2,2025-02-12,0.52,10.5
909780,1006,2,2025-02-12,0.06,1.2
903483,1001,1,2025-02-12,0.17,4.16
903483,1002,1,2025-02-12,0.28,5.94
903483,1003,1,2025-02-12,0.34,7.31
906619,1007,3,2025-02-12,0.42,9.51
906619,1008,3,2025-02-12,0.28,5.95
906619,1009,3,2025-02-12,0.45,9.05
906232,1004,2,2025-02-12,0.09,1.97
906232,1005,2,2025-02-12,0.58,11.72
906232,1006,2,2025-02-12,0.21,4.19
908200,1001,1,2025-02-12,0.35,8.57
908200,1002,1,2025-02-12,0.45,9.54
908200,1003,1,2025-02-12,0.79,16.98
900952,1004,2,2025-02-12,0.17,3.73
900952,1005,2,2025-02-12,0.45,9.09
900952,1006,2,2025-02-12,0.69,13.78
917324,1001,1,2025-02-12,1.64,40.16
917324,1002,1,2025-02-12,1.62,34.34
917324,1003,1,2025-02-12,0.59,12.68
916609,1007,3,2025-02-12,0.42,9.51
916609,1008,3,2025-02-12,0.41,8.71
916609,1009,3,2025-02-12,0.34,6.84
900338,1001,1,2025-02-12,0.32,7.84
900338,1002,1,2025-02-12,0.27,5.72
900338,1003,1,2025-02-12,0.2,4.3
908342,1010,4,2025-02-12,0.47,11.63
908342,1011,4,2025-02-12,0.11,2.05
908342,1012,4,2025-02-12,0.24,4.43
914055,1010,4,2025-02-12,0.23,5.69
914055,1011,4,2025-02-12,0.35,6.52
914055,1012,4,2025-02-12,0.18,3.32
902594,1013,5,2025-02-12,0.42,10.67
902594,1014,5,2025-02-12,0.4,7.88
902594,1015,5,2025-02-12,0.38,7.19
911933,1001,1,2025-02-12,0.16,3.92
911933,1002,1,2025-02-12,0.31,6.57
911933,1003,1,2025-02-12,0.25,5.38
908068,1007,3,2025-02-12,0.39,8.83
908068,1008,3,2025-02-12,0.19,4.04
908068,1009,3,2025-02-12,0.46,9.25
904577,1004,2,2025-02-12,0.1,2.19
904577,1005,2,2025-02-12,0.6,12.12
904577,1006,2,2025-02-12,0.23,4.59
914782,1007,3,2025-02-12,0.4,9.06
914782,1008,3,2025-02-12,0.48,10.2
914782,1009,3,2025-02-12,1.02,20.51
902141,1007,3,2025-02-12,0.29,6.57
902141,1008,3,2025-02-12,0.07,1.49
902141,1009,3,2025-02-12,0.55,11.06
910572,1010,4,2025-02-12,0.38,9.4
910572,1011,4,2025-02-12,0.17,3.17
910572,1012,4,2025-02-12,0.19,3.51
905771,1004,2,2025-02-13,0.21,4.6
905771,1005,2,2025-02-13,0.32,6.46
905771,1006,2,2025-02-13,0.36,7.19
914963,1013,5,2025-02-13,0.19,4.83
914963,1014,5,2025-02-13,0.4,7.88
914963,1015,5,2025-02-13,0.64,12.1
905668,1001,1,2025-02-13,0.13,3.18
905668,1002,1,2025-02-13,0.35,7.42
905668,1003,1,2025-02-13,0.16,3.44
900886,1010,4,2025-02-13,0.13,3.22
900886,1011,4,2025-02-13,0.12,2.24
900886,1012,4,2025-02-13,0.41,7.57
910128,1010,4,2025-02-13,0.37,9.16
910128,1011,4,2025-02-13,0.41,7.64
910128,1012,4,2025-02-13,0.08,1.48
913128,1013,5,2025-02-13,0.57,14.48
913128,1014,5,2025-02-13,0.12,2.36
913128,1015,5,2025-02-13,0.44,8.32
901018,1001,1,2025-02-13,0.12,2.94
901018,1002,1,2025-02-13,0.29,6.15
901018,1003,1,2025-02-13,0.59,12.68
909913,1004,2,2025-02-13,0.39,8.55
909913,1005,2,2025-02-13,0.28,5.66
909913,1006,2,2025-02-13,0.4,7.99
900745,1004,2,2025-02-13,0.12,2.63
900745,1005,2,2025-02-13,0.42,8.48
900745,1006,2,2025-02-13,0.2,3.99
912659,1001,1,2025-02-13,0.55,13.47
912659,1002,1,2025-02-13,0.36,7.63
912659,1003,1,2025-02-13,0.22,4.73
914160,1007,3,2025-02-13,0.13,2.94
914160,1008,3,2025-02-13,0.41,8.71
914160,1009,3,2025-02-13,0.85,17.09
906269,1007,3,2025-02-13,0.31,7.02
906269,1008,3,2025-02-13,0.28,5.95
906269,1009,3,2025-02-13,0.44,8.85
914293,1004,2,2025-02-13,0.49,10.74
914293,1005,2,2025-02-13,0.23,4.65
914293,1006,2,2025-02-13,0.43,8.59
903351,1007,3,2025-02-13,0.22,4.98
903351,1008,3,2025-02-13,0.38,8.07
903351,1009,3,2025-02-13,0.66,13.27
911043,1010,4,2025-02-13,0.45,11.14
911043,1011,4,2025-02-13,0.27,5.03
911043,1012,4,2025-02-13,0.19,3.51
901357,1010,4,2025-02-13,0.69,17.08
901357,1011,4,2025-02-13,0.13,2.42
901357,1012,4,2025-02-13,0.07,1.29
906015,1013,5,2025-02-13,0.24,6.1
906015,1014,5,2025-02-13,0.45,8.87
906015,1015,5,2025-02-13,0.27,5.11
912206,1001,1,2025-02-13,0.21,5.14
912206,1002,1,2025-02-13,0.08,1.7
912206,1003,1,2025-02-13,0.51,10.96
908304,1007,3,2025-02-13,0.8,18.11
908304,1008,3,2025-02-13,0.15,3.19
908304,1009,3,2025-02-13,0.12,2.41
908408,1001,1,2025-02-13,0.19,4.65
908408,1002,1,2025-02-13,0.62,13.14
908408,1003,1,2025-02-13,0.18,3.87
916056,1013,5,2025-02-13,0.32,8.13
916056,1014,5,2025-02-13,0.33,6.5
916056,1015,5,2025-02-13,0.42,7.94
912556,1001,1,2025-02-13,0.47,11.51
912556,1002,1,2025-02-13,0.44,9.33
912556,1003,1,2025-02-13,0.29,6.23
914630,1001,1,2025-02-13,0.42,10.29
914630,1002,1,2025-02-13,0.13,2.76
914630,1003,1,2025-02-13,0.3,6.45
904474,1013,5,2025-02-13,0.23,5.84
904474,1014,5,2025-02-13,0.36,7.09
904474,1015,5,2025-02-13,0.16,3.03
902208,1004,2,2025-02-14,0.48,10.52
902208,1005,2,2025-02-14,0.77,15.55
902208,1006,2,2025-02-14,0.42,8.39
900197,1010,4,2025-02-14,0.23,5.69
900197,1011,4,2025-02-14,0.48,8.94
900197,1012,4,2025-02-14,0.42,7.76
906128,1007,3,2025-02-14,0.22,4.98
906128,1008,3,2025-02-14,0.08,1.7
906128,1009,3,2025-02-14,0.7,14.08
903105,1010,4,2025-02-14,0.62,15.35
903105,1011,4,2025-02-14,0.13,2.42
903105,1012,4,2025-02-14,0.16,2.96
911221,1010,4,2025-02-14,0.18,4.46
911221,1011,4,2025-02-14,0.19,3.54
911221,1012,4,2025-02-14,0.34,6.28
912101,1004,2,2025-02-14,0.42,9.21
912101,1005,2,2025-02-14,0.61,12.32
912101,1006,2,2025-02-14,0.1,2.0
912762,1013,5,2025-02-14,0.18,4.57
912762,1014,5,2025-02-14,0.42,8.27
912762,1015,5,2025-02-14,0.45,8.51
903692,1010,4,2025-02-14,0.24,5.94
903692,1011,4,2025-02-14,0.23,4.28
903692,1012,4,2025-02-14,0.25,4.62
916131,1004,2,2025-02-14,0.09,1.97
916131,1005,2,2025-02-14,0.12,2.42
916131,1006,2,2025-02-14,0.68,13.58
914227,1004,2,2025-02-14,0.22,4.82
914227,1005,2,2025-02-14,0.42,8.48
914227,1006,2,2025-02-14,0.59,11.78
911286,1013,5,2025-02-14,0.19,4.83
911286,1014,5,2025-02-14,0.49,9.65
911286,1015,5,2025-02-14,0.17,3.21
914462,1013,5,2025-02-14,0.36,9.15
914462,1014,5,2025-02-14,0.14,2.76
914462,1015,5,2025-02-14,0.44,8.32
902518,1004,2,2025-02-14,0.4,8.77
902518,1005,2,2025-02-14,0.32,6.46
902518,1006,2,2025-02-14,0.24,4.79
903247,1004,2,2025-02-14,0.11,2.41
903247,1005,2,2025-02-14,0.2,4.04
903247,1006,2,2025-02-14,0.66,13.18
904821,1001,1,2025-02-14,0.13,3.18
904821,1002,1,2025-02-14,0.74,15.69
904821,1003,1,2025-02-14,0.47,10.1
917585,1013,5,2025-02-14,21.52,546.82
917585,1014,5,2025-02-14,15.81,311.46
917585,1015,5,2025-02-14,13.97,264.17
905837,1001,1,2025-02-14,0.39,9.55
905837,1002,1,2025-02-14,0.46,9.75
905837,1003,1,2025-02-14,0.07,1.51
901906,1004,2,2025-02-14,0.34,7.45
901906,1005,2,2025-02-14,0.48,9.7
901906,1006,2,2025-02-14,0.12,2.4
903285,1010,4,2025-02-15,0.37,9.16
903285,1011,4,2025-02-15,0.17,3.17
903285,1012,4,2025-02-15,0.26,4.8
902275,1001,1,2025-02-15,0.39,9.55
902275,1002,1,2025-02-15,0.15,3.18
902275,1003,1,2025-02-15,0.45,9.68
906052,1004,2,2025-02-15,0.29,6.36
906052,1005,2,2025-02-15,0.26,5.25
906052,1006,2,2025-02-15,0.32,6.39
905301,1001,1,2025-02-15,0.4,9.8
905301,1002,1,2025-02-15,0.36,7.63
905301,1003,1,2025-02-15,0.38,8.17
903928,1010,4,2025-02-15,0.46,11.38
903928,1011,4,2025-02-15,0.67,12.48
903928,1012,4,2025-02-15,0.29,5.36
905472,1001,1,2025-02-15,0.14,3.43
905472,1002,1,2025-02-15,0.13,2.76
905472,1003,1,2025-02-15,0.51,10.96
907729,1001,1,2025-02-15,0.36,8.82
907729,1002,1,2025-02-15,0.57,12.08
907729,1003,1,2025-02-15,0.23,4.95
910193,1001,1,2025-02-15,0.21,5.14
910193,1002,1,2025-02-15,0.94,19.93
910193,1003,1,2025-02-15,0.36,7.74
904745,1001,1,2025-02-15,0.6,14.69
904745,1002,1,2025-02-15,0.19,4.03
904745,1003,1,2025-02-15,0.33,7.1
900095,1010,4,2025-02-15,0.52,12.87
900095,1011,4,2025-02-15,0.14,2.61
900095,1012,4,2025-02-15,0.26,4.8
901489,1004,2,2025-02-15,0.32,7.01
901489,1005,2,2025-02-15,0.13,2.63
901489,1006,2,2025-02-15,0.65,12.98
902037,1004,2,2025-02-15,0.5,10.96
902037,1005,2,2025-02-15,0.28,5.66
902037,1006,2,2025-02-15,0.09,1.8
910534,1010,4,2025-02-15,0.16,3.96
910534,1011,4,2025-02-15,0.17,3.17
910534,1012,4,2025-02-15,0.39,7.2
904096,1004,2,2025-02-15,0.49,10.74
904096,1005,2,2025-02-15,0.11,2.22
904096,1006,2,2025-02-15,0.37,7.39
915312,1013,5,2025-02-15,0.28,7.11
915312,1014,5,2025-02-15,0.22,4.33
915312,1015,5,2025-02-15,0.21,3.97
910977,1001,1,2025-02-15,0.16,3.92
910977,1002,1,2025-02-15,0.35,7.42
910977,1003,1,2025-02-15,0.31,6.67
