estimate_id,customer_id,service_id,estimate_date,quoted_revenue,quoted_labor_hours,quoted_material_cost,estimate_status,won_date
50109,29,3,2025-03-15,938.91,12.73,237.23,Won,2025-03-20
50110,30,10,2025-03-27,2028.92,24.64,788.29,Expired,
50111,30,5,2025-12-05,371.47,4.63,35.01,Expired,
50112,30,5,2026-01-18,332.75,4.16,40.61,Won,2026-01-20
50113,30,6,2025-08-27,2754.27,25.37,1139.33,Lost,
50114,31,5,2025-11-23,764.37,8.93,85.1,Won,2025-11-29
50115,31,8,2026-06-13,992.37,10.38,144.07,Expired,
50116,31,6,2025-09-11,6076.89,61.36,2225.26,Lost,
50117,31,6,2026-04-02,6635.52,65.28,2626.79,Lost,
50118,31,10,2025-04-10,5767.64,73.82,2150.3,Lost,
50119,31,10,2026-05-14,4319.44,46.85,1237.76,Won,2026-05-18
50120,32,7,2026-07-12,5397.86,48.06,2008.76,Won,2026-07-15
50121,32,9,2026-07-20,277.9,2.59,78.06,Won,2026-07-22
50122,32,8,2025-03-12,332.45,3.67,34.19,Won,2025-03-16
50123,32,4,2025-10-22,335.32,3.77,66.89,Lost,
50124,32,3,2026-03-15,581.98,7.82,189.62,Won,2026-03-21
50125,32,10,2025-11-01,1734.48,19.93,619.29,Lost,
50126,33,8,2025-10-14,496.32,5.52,65.36,Won,2025-10-18
50127,33,3,2026-07-05,438.89,5.6,129.41,Won,2026-07-10
50128,33,4,2025-10-06,280.79,3.29,59.56,Won,2025-10-07
50129,33,10,2025-03-29,1902.96,20.73,578.98,Expired,
50130,33,8,2025-09-24,514.84,5.29,57.41,Won,2025-09-28
50131,33,8,2025-03-29,457.57,4.78,50.7,Lost,
50132,33,4,2025-09-30,403.09,5.09,93.14,Won,2025-10-03
50133,33,6,2026-07-10,2238.79,21.44,875.74,Lost,
50134,34,6,2025-08-09,4172.06,42.78,1551.83,Lost,
50135,34,8,2025-08-03,614.19,6.13,80.47,Lost,
50136,34,6,2025-11-22,3587.21,37.46,1139.35,Lost,
50137,34,6,2025-09-13,2849.96,27.23,964.17,Won,2025-09-20
50138,34,10,2026-07-15,2943.92,34.48,1239.12,Expired,
50139,34,10,2026-04-22,2409.15,25.66,722.56,Won,2026-04-24
50140,34,3,2025-04-21,514.24,6.75,142.03,Lost,
50141,35,7,2026-04-02,5832.23,54.23,2275.03,Won,2026-04-04
50142,35,4,2025-08-17,376.58,4.83,73.41,Lost,
50143,35,6,2026-07-23,3175.27,32.48,1185.27,Expired,
50144,35,10,2026-07-24,2749.51,30.65,946.7,Lost,
50145,36,4,2026-08-01,549.33,6.28,96.99,Won,2026-08-02
50146,36,10,2025-06-08,2190.51,26.16,746.72,Won,2025-06-14
50147,36,7,2026-04-23,7271.4,57.43,3029.1,Won,2026-04-29
50148,37,10,2025-11-18,2984.96,30.83,1014.11,Lost,
50149,37,3,2025-07-29,871.09,12.07,192.69,Won,2025-08-01
50150,37,4,2025-10-15,410.33,5.08,110.98,Lost,
50151,37,6,2026-06-12,3763.44,37.77,1593.35,Lost,
50152,37,10,2026-06-20,2629.78,27.05,817.55,Lost,
50153,37,4,2025-09-05,436.64,4.89,96.0,Lost,
50154,37,3,2026-06-23,702.4,8.62,190.22,Lost,
50155,37,5,2025-10-29,370.15,4.99,39.92,Won,2025-10-30
50156,37,8,2025-04-03,607.85,7.04,74.1,Won,2025-04-05
50157,37,6,2025-08-17,4698.18,45.38,1845.9,Lost,
50158,38,7,2025-07-20,5125.82,48.87,2251.94,Won,2025-07-24
50159,38,6,2025-08-18,2389.27,24.53,832.57,Won,2025-08-23
50160,39,10,2025-11-19,1701.48,20.72,691.65,Expired,
50161,39,8,2025-04-29,302.7,3.46,36.39,Lost,
50162,39,6,2026-08-23,3459.37,34.56,1256.25,Won,2026-08-25
50163,40,9,2026-05-02,355.96,3.01,96.3,Lost,
50164,40,8,2025-03-31,381.84,4.25,49.31,Lost,
50165,41,8,2026-07-13,381.74,4.37,59.03,Won,2026-07-17
50166,41,8,2025-09-01,508.01,5.03,67.48,Won,2025-09-07
50167,41,4,2026-08-03,415.23,4.89,96.07,Won,2026-08-04
50168,42,10,2025-10-25,3020.66,34.62,1000.04,Won,2025-10-30
50169,42,3,2026-04-08,732.51,9.88,175.0,Expired,
50170,42,4,2026-06-23,470.73,4.7,94.65,Lost,
50171,42,3,2025-05-08,532.45,7.2,147.63,Lost,
50172,43,4,2025-10-20,358.58,3.95,80.65,Won,2025-10-22
50173,43,8,2025-07-07,425.0,4.39,54.11,Lost,
50174,43,3,2025-03-26,531.04,6.54,137.35,Won,2025-03-31
50175,43,10,2026-04-20,1580.97,15.64,501.31,Lost,
50176,43,4,2025-10-06,371.91,4.26,74.32,Won,2025-10-08
50177,43,3,2026-04-13,537.86,6.27,144.17,Won,2026-04-14
50178,43,8,2026-02-07,408.51,4.41,44.16,Won,2026-02-13
50179,43,4,2025-10-18,314.92,3.52,59.34,Won,2025-10-22
50180,44,3,2026-06-12,381.37,5.55,92.94,Won,2026-06-14
50181,44,6,2025-07-28,2669.59,27.24,1001.74,Expired,
50182,44,3,2025-04-27,516.98,7.25,147.83,Won,2025-04-30
50183,44,4,2025-09-26,351.12,3.12,90.59,Won,2025-10-03
50184,44,10,2026-03-22,1815.47,18.83,579.99,Won,2026-03-24
50185,44,7,2026-03-09,5765.61,55.3,1990.23,Lost,
50186,44,7,2026-06-29,5364.83,44.02,1997.56,Won,2026-07-06
50187,45,10,2025-04-29,2162.81,26.85,721.37,Lost,
50188,45,8,2025-03-13,549.78,6.78,74.53,Expired,
50189,46,10,2025-10-03,1950.8,17.82,656.92,Expired,
50190,46,5,2025-12-10,304.83,3.89,25.65,Won,2025-12-17
50191,47,4,2025-07-31,290.6,3.58,62.8,Won,2025-08-04
50192,48,4,2025-09-05,337.01,4.39,75.67,Lost,
50193,48,8,2026-06-20,403.87,4.12,51.48,Won,2026-06-25
50194,48,9,2025-12-30,285.27,2.58,71.4,Won,2026-01-05
50195,48,3,2026-04-01,648.37,8.12,185.18,Lost,
50196,49,4,2025-09-15,397.42,4.15,82.71,Won,2025-09-18
50197,49,8,2026-07-13,559.2,6.72,77.6,Won,2026-07-19
50198,49,9,2025-09-01,513.97,4.88,171.89,Won,2025-09-08
50199,50,4,2025-09-27,421.93,4.72,75.73,Won,2025-09-29
50200,51,5,2025-03-14,358.88,4.38,29.71,Won,2025-03-19
50201,51,10,2026-08-25,3852.55,39.98,1550.36,Lost,
50202,52,10,2025-04-29,4024.72,37.9,1299.75,Lost,
50203,52,7,2025-03-30,10819.26,111.66,3542.69,Won,2025-03-31
50204,52,9,2026-06-25,828.01,7.94,177.88,Won,2026-06-27
50205,53,5,2025-11-16,515.16,6.03,52.45,Won,2025-11-19
50206,53,3,2026-04-05,740.27,8.37,264.41,Lost,
50207,53,9,2025-04-12,428.99,3.6,107.24,Won,2025-04-16
50208,53,10,2025-03-05,4352.7,45.78,1504.23,Won,2025-03-09
50209,53,6,2026-05-16,3985.26,39.49,1546.73,Won,2026-05-23
50210,53,8,2025-10-10,798.5,10.04,109.22,Won,2025-10-16
50211,53,4,2026-05-29,540.26,6.53,121.45,Won,2026-06-01
50212,53,8,2025-08-06,962.04,10.97,139.24,Won,2025-08-12
50213,54,3,2025-05-06,452.98,5.82,114.76,Won,2025-05-07
50214,54,4,2025-11-23,352.9,4.72,90.11,Lost,
50215,55,4,2025-09-30,599.25,6.97,125.11,Won,2025-10-01
50216,55,6,2025-07-23,5105.2,49.76,1751.0,Lost,
50217,55,6,2025-09-13,5891.11,62.33,1964.2,Lost,
50218,55,6,2025-05-20,6512.52,64.23,2143.09,Won,2025-05-22
50219,56,8,2025-10-05,463.02,5.63,63.73,Won,2025-10-10
50220,56,3,2025-03-21,692.86,9.35,201.22,Lost,
50221,57,4,2025-09-05,505.14,5.18,116.88,Won,2025-09-10
50222,57,5,2025-11-07,353.4,4.25,35.41,Expired,
50223,57,4,2025-06-29,313.78,3.2,77.57,Expired,
50224,57,10,2025-07-09,2811.64,30.13,1113.09,Won,2025-07-16
50225,57,6,2025-06-06,3885.64,37.7,1326.55,Expired,
50226,58,7,2025-07-13,7812.19,77.54,2724.47,Won,2025-07-19
50227,58,5,2025-01-25,420.67,4.7,42.84,Expired,
50228,58,4,2026-08-22,481.75,5.23,112.48,Won,2026-08-23
50229,58,6,2025-10-16,5562.85,50.42,1799.6,Won,2025-10-19
50230,58,3,2025-03-28,636.87,8.65,190.96,Lost,
50231,58,8,2026-06-22,826.22,10.13,98.6,Won,2026-06-29
50232,58,3,2025-09-25,656.88,8.4,194.06,Lost,
50233,59,5,2025-12-17,397.94,5.12,35.33,Expired,
50234,60,4,2026-08-10,291.92,3.31,73.52,Lost,
50235,60,3,2025-03-26,387.13,4.34,97.7,Won,2025-03-27
50236,60,4,2025-10-25,506.7,6.38,116.02,Won,2025-10-26
50237,60,4,2025-09-15,399.01,4.32,95.8,Expired,
50238,60,6,2025-10-02,3349.3,27.88,1099.22,Won,2025-10-09
50239,61,6,2026-05-23,3110.61,31.06,1121.98,Won,2026-05-24
50240,61,8,2025-09-09,558.77,5.49,75.89,Won,2025-09-10
50241,61,7,2026-04-30,8680.38,78.66,2907.88,Won,2026-05-06
50242,61,8,2025-05-07,814.78,8.92,122.31,Won,2025-05-14
50243,62,4,2025-08-28,507.57,5.85,129.77,Won,2025-08-30
50244,62,9,2026-04-18,524.98,4.52,141.04,Won,2026-04-22
50245,62,8,2025-07-06,619.98,6.6,81.23,Lost,
50246,62,9,2025-09-21,367.41,3.43,90.83,Lost,
50247,62,3,2026-05-22,1022.97,11.48,256.48,Lost,
50248,62,4,2026-08-22,477.38,5.64,109.53,Won,2026-08-25
50249,62,10,2026-08-12,2970.75,28.8,1177.65,Lost,
50250,64,6,2026-08-26,3185.34,30.12,1197.24,Expired,
50251,64,6,2026-08-28,3189.27,30.54,1081.85,Lost,
50252,64,10,2026-06-06,3110.16,35.06,1077.59,Won,2026-06-11
50253,64,8,2026-02-04,592.4,7.92,85.81,Lost,
50254,64,8,2026-08-13,563.09,5.54,64.56,Lost,
50255,65,3,2025-04-11,566.01,7.29,136.96,Won,2025-04-13
50256,65,10,2025-06-08,1974.3,19.5,654.36,Won,2025-06-09
50257,65,9,2025-05-20,256.89,2.05,72.83,Lost,
50258,65,3,2025-02-21,601.34,8.74,193.37,Lost,
50259,65,7,2025-08-21,4994.39,44.51,1805.78,Won,2025-08-27
50260,65,10,2025-12-16,1759.75,17.61,499.85,Won,2025-12-18
50261,65,6,2026-05-19,2882.77,28.26,1264.25,Won,2026-05-20
50262,65,3,2026-08-24,517.19,7.08,143.18,Lost,
50263,66,3,2025-11-17,863.56,10.56,299.04,Won,2025-11-19
50264,66,3,2025-01-11,879.35,11.84,226.69,Won,2025-01-17
50265,67,3,2025-03-13,419.65,4.45,117.82,Won,2025-03-18
50266,67,8,2026-06-15,425.43,4.63,47.89,Won,2026-06-19
50267,67,6,2026-04-06,2664.26,22.69,883.66,Lost,
50268,68,7,2026-06-24,5358.24,56.5,2105.51,Expired,
50269,68,6,2026-01-13,3000.56,25.83,1105.62,Won,2026-01-16
50270,68,8,2025-07-10,477.05,5.31,68.94,Won,2025-07-17
50271,68,6,2026-08-02,2919.5,29.24,1274.41,Expired,
50272,68,3,2025-07-11,460.75,6.22,127.49,Lost,
50273,68,7,2025-12-28,5904.56,54.61,2335.64,Lost,
50274,68,8,2025-06-24,409.01,4.46,54.95,Lost,
50275,69,3,2025-06-01,420.33,5.99,126.14,Lost,
50276,69,8,2026-05-01,440.75,5.11,58.2,Expired,
50277,69,10,2025-11-10,2310.97,26.45,764.79,Won,2025-11-15
50278,69,6,2026-02-05,3774.86,35.59,1310.8,Lost,
50279,70,8,2025-11-05,580.37,7.12,75.05,Won,2025-11-11
50280,70,6,2025-10-24,4144.26,39.73,1535.97,Won,2025-10-27
50281,70,10,2025-11-05,3248.5,37.98,1035.83,Won,2025-11-10
50282,70,7,2025-03-24,8595.64,81.56,3156.35,Won,2025-03-25
50283,70,4,2025-10-19,488.85,6.52,109.87,Won,2025-10-24
50284,70,8,2025-07-22,586.23,6.22,78.66,Won,2025-07-26
50285,70,6,2025-10-01,3083.73,31.44,895.72,Won,2025-10-08
50286,70,8,2026-08-31,733.26,7.64,87.3,Lost,
50287,71,7,2026-05-31,6742.88,62.08,2445.32,Lost,
50288,71,8,2026-06-27,331.32,3.57,38.22,Expired,
50289,71,3,2026-06-22,455.68,6.09,127.39,Expired,
50290,71,8,2026-07-31,424.71,4.71,56.63,Lost,
50291,71,10,2025-08-16,2842.76,32.99,1076.85,Won,2025-08-20
50292,71,9,2026-05-16,254.31,2.29,65.09,Lost,
50293,72,10,2026-05-14,2633.0,26.08,901.69,Lost,
50294,72,6,2026-03-22,3649.45,30.88,1522.5,Lost,
50295,72,8,2025-05-29,656.87,8.54,98.23,Expired,
50296,72,8,2025-04-12,709.43,6.82,96.18,Won,2025-04-19
50297,72,5,2025-11-14,412.21,5.13,41.23,Won,2025-11-21
50298,72,7,2025-10-18,6648.56,59.2,2974.2,Won,2025-10-19
50299,72,9,2026-06-09,520.77,4.58,131.5,Won,2026-06-15
50300,72,10,2025-11-29,3536.25,38.23,1209.72,Won,2025-12-05
50301,72,3,2025-08-22,716.85,9.31,167.07,Expired,
50302,73,4,2025-09-18,298.76,3.58,65.89,Lost,
50303,73,3,2025-02-21,252.51,3.37,70.71,Won,2025-02-24
50304,73,4,2025-11-09,405.67,4.92,94.05,Lost,
50305,73,9,2025-04-16,319.72,2.85,104.72,Won,2025-04-19
50306,73,6,2025-02-08,2416.79,23.65,805.29,Won,2025-02-10
50307,73,7,2025-09-01,6070.8,51.82,1871.52,Lost,
50308,73,10,2026-08-06,3254.39,44.76,919.62,Lost,
50309,73,9,2025-07-31,249.94,2.21,62.79,Lost,
50310,74,6,2026-07-12,2998.45,27.91,1220.47,Expired,
50311,74,6,2026-05-31,3323.5,30.68,1184.38,Expired,
50312,74,10,2025-04-10,1874.22,23.12,538.12,Expired,
50313,75,10,2025-06-11,2376.83,27.88,790.43,Won,2025-06-13
50314,75,8,2026-06-28,484.28,4.81,66.63,Won,2026-07-02
50315,76,4,2026-02-07,395.0,5.11,99.49,Lost,
50316,76,10,2026-04-10,2141.3,17.1,798.04,Won,2026-04-11
50317,76,9,2025-05-03,329.87,2.78,87.12,Won,2025-05-06
50318,76,3,2026-07-26,374.65,4.32,104.43,Won,2026-07-28
50319,76,6,2025-03-03,3928.6,39.62,1486.14,Lost,
50320,76,6,2026-03-26,2499.85,23.11,1037.18,Won,2026-04-01
50321,76,8,2026-05-22,485.51,5.52,59.01,Expired,
50322,77,4,2025-10-01,465.37,5.58,110.78,Won,2025-10-05
50323,77,5,2026-08-27,372.41,4.8,29.13,Won,2026-09-01
50324,77,6,2026-03-23,3493.55,38.51,1285.99,Won,2026-03-28
50325,77,7,2026-06-07,6337.25,53.91,2236.13,Lost,
50326,77,6,2026-03-16,3930.23,40.17,1394.38,Won,2026-03-19
50327,77,10,2026-06-27,2801.29,30.86,985.02,Won,2026-07-04
50328,77,10,2026-01-04,3190.3,35.21,987.71,Won,2026-01-10
50329,77,3,2025-05-02,672.98,8.36,184.56,Expired,
50330,78,6,2026-05-19,3534.4,31.12,1136.45,Lost,
50331,78,3,2025-06-22,659.39,8.03,171.86,Won,2025-06-28
50332,78,8,2025-09-28,417.85,4.78,54.59,Won,2025-10-01
50333,78,3,2026-03-11,698.52,10.19,205.03,Lost,
50334,78,8,2025-08-19,600.29,7.3,80.22,Won,2025-08-26
50335,78,10,2025-09-09,2286.82,24.53,710.28,Won,2025-09-15
50336,78,3,2025-09-26,654.88,9.14,161.84,Expired,
50337,78,10,2025-09-03,2516.2,30.4,1024.59,Lost,
50338,79,7,2026-03-04,4638.61,44.37,1573.26,Won,2026-03-08
50339,79,8,2025-06-10,576.4,6.71,83.29,Won,2025-06-13
50340,80,5,2025-10-01,372.08,4.58,34.18,Lost,
50341,80,6,2025-07-28,3502.4,33.2,1353.84,Lost,
50342,80,10,2026-06-14,2034.21,17.34,629.41,Lost,
50343,81,8,2025-03-25,787.72,9.39,98.68,Won,2025-03-30
50344,81,7,2026-06-20,8998.44,86.86,3109.25,Expired,
50345,81,10,2025-07-11,4175.72,41.88,1278.76,Lost,
50346,81,10,2025-03-16,3398.56,35.29,1138.67,Expired,
50347,81,7,2025-04-03,10825.18,103.64,4238.32,Won,2025-04-04
50348,81,5,2025-11-28,594.86,6.64,56.44,Won,2025-12-03
50349,81,6,2026-07-20,4004.94,39.3,1390.21,Won,2026-07-21
50350,82,6,2025-06-13,2599.1,28.67,1033.73,Won,2025-06-19
50351,82,5,2025-11-14,383.98,4.49,33.14,Expired,
50352,82,4,2025-06-25,280.96,2.89,65.69,Won,2025-06-27
50353,82,6,2026-04-01,2857.5,29.21,878.58,Lost,
50354,83,8,2026-07-28,357.45,3.95,47.56,Lost,
50355,83,8,2026-03-25,383.62,4.08,41.48,Lost,
50356,83,7,2025-03-08,4112.63,35.14,1758.99,Won,2025-03-10
50357,84,6,2025-08-01,3542.74,30.93,1612.94,Lost,
50358,84,6,2025-10-08,2452.13,23.15,883.87,Expired,
50359,84,9,2026-07-23,292.65,2.29,72.95,Expired,
50360,84,10,2025-10-21,1839.95,20.05,656.6,Won,2025-10-22
50361,84,10,2026-07-13,2293.36,24.64,743.93,Won,2026-07-17
50362,85,5,2025-11-19,456.68,5.68,39.52,Lost,
50363,86,10,2025-10-27,1935.87,19.4,614.61,Won,2025-10-28
50364,86,6,2026-03-30,2395.38,21.29,847.54,Lost,
50365,86,10,2026-05-19,1658.35,16.92,576.34,Won,2026-05-25
50366,87,10,2026-06-22,2912.68,35.18,1081.87,Won,2026-06-26
50367,87,6,2026-03-22,2861.36,27.29,1001.76,Won,2026-03-24
50368,87,10,2026-08-31,1993.59,20.77,537.92,Expired,
50369,87,3,2025-02-22,588.36,7.51,184.05,Won,2025-02-23
50370,87,9,2026-08-19,268.79,2.19,64.97,Lost,
50371,88,3,2025-01-04,607.94,7.8,196.87,Won,2025-01-06
50372,88,6,2025-03-10,2812.06,29.67,902.06,Won,2025-03-17
50373,88,10,2025-05-27,3849.44,44.33,1507.93,Lost,
50374,88,7,2025-10-19,8404.39,75.91,3056.65,Lost,
50375,88,6,2025-03-26,4370.05,40.45,1696.28,Won,2025-03-27
50376,89,4,2025-09-15,469.6,5.89,99.31,Lost,
50377,89,7,2025-03-25,4506.97,42.7,1392.81,Lost,
50378,90,6,2026-08-16,2248.66,22.2,980.78,Won,2026-08-21
50379,90,9,2025-06-11,241.63,2.47,67.1,Lost,
50380,91,4,2025-09-10,632.27,7.68,130.17,Lost,
50381,91,3,2026-06-26,1126.0,14.71,368.95,Won,2026-06-29
50382,91,8,2025-06-07,955.92,10.14,147.1,Lost,
50383,91,9,2025-04-15,627.18,6.15,151.71,Lost,
50384,92,10,2025-08-22,2736.53,29.14,904.42,Won,2025-08-23
50385,92,10,2026-04-24,2546.04,27.64,1029.59,Lost,
50386,92,9,2025-04-19,382.87,3.36,118.28,Won,2025-04-26
50387,92,5,2025-10-29,382.53,4.23,42.21,Won,2025-11-03
50388,93,8,2025-07-18,741.29,7.84,116.59,Won,2025-07-25
50389,93,6,2026-05-31,4225.62,44.19,1561.71,Lost,
50390,94,3,2025-03-08,699.47,8.29,198.27,Lost,
50391,94,6,2025-07-03,3057.84,28.58,1078.12,Expired,
50392,94,6,2025-07-02,1901.64,21.14,713.01,Lost,
50393,95,4,2025-05-11,493.48,5.91,110.56,Lost,
50394,95,9,2025-04-12,456.63,4.21,135.42,Expired,
50395,95,6,2026-06-26,7406.93,84.63,2446.29,Expired,
50396,95,3,2025-06-27,1153.56,14.86,308.51,Expired,
50397,95,3,2026-08-10,989.69,12.2,271.44,Won,2026-08-14
50398,95,8,2026-04-13,538.45,6.48,73.69,Lost,
50399,95,9,2025-09-01,535.91,5.59,140.88,Won,2025-09-07
50400,95,9,2026-07-03,737.14,6.87,191.35,Lost,
50401,95,6,2025-06-14,5829.47,68.93,1877.76,Won,2025-06-18
50402,95,10,2026-01-07,3508.97,37.07,1093.03,Lost,
50403,96,6,2026-07-09,3168.65,32.56,1039.07,Expired,
50404,96,3,2026-04-29,459.91,5.43,121.11,Won,2026-05-04
